round,treat,org,rep,pgrow,mgrow,catorg
2,C,A10,R2,0,7,CA10
2,F,A10,R1,24.7,9.5,FA10
2,F,A10,R2,28,11.8,FA10
2,C,A43,R1,0,19.1,CA43
2,C,A43,R2,0,18.6,CA43
2,C,A43,R3,0,19.9,CA43
2,F,A43,R1,33.8,11.9,FA43
2,F,A43,R2,28,9.3,FA43
2,F,A43,R3,30.2,11.1,FA43
2,C,A45,R1,0,24.1,CA45
2,C,A45,R2,0,26.5,CA45
2,C,A45,R3,0,20.8,CA45
2,F,A45,R1,29.9,13.1,FA45
2,F,A45,R2,24.3,9.3,FA45
2,F,A45,R3,22.4,9.2,FA45
2,C,E35,R1,0,33.2,CE35
2,C,E35,R2,0,51.5,CE35
2,C,E35,R3,0,55.8,CE35
2,F,E35,R1,26.8,18.9,FE35
2,F,E35,R2,23.2,16.9,FE35
2,F,E35,R3,23.2,15.6,FE35
2,C,E38,R2,0,22.7,CE38
2,C,E38,R3,0,23,CE38
2,F,E38,R1,29.3,9.2,FE38
2,F,E38,R2,35.9,12.7,FE38
2,F,E38,R3,35.5,12.4,FE38
2,C,G36,R1,0,36.3,CG36
2,C,G36,R2,0,18.7,CG36
2,C,G36,R3,0,15.2,CG36
2,F,G36,R1,28.5,8.8,FG36
2,F,G36,R3,28.5,10.7,FG36
2,C,G79,R1,0,46.8,CG79
2,C,G79,R2,0,46,CG79
2,C,G79,R3,0,27.6,CG79
2,F,G79,R1,25.9,18.1,FG79
2,F,G79,R2,25.1,18.4,FG79
2,F,G79,R3,23.9,17.7,FG79
2,C,X63,R1,0,37,CX63
2,C,X63,R2,0,35,CX63
2,F,X63,R1,27.7,9.1,FX63
2,F,X63,R2,33.7,16,FX63
2,F,X63,R3,28.5,10.2,FX63
2,C,X36,R1,0,17.9,CX36
2,C,X36,R2,0,17.7,CX36
2,C,X36,R3,0,16.1,CX36
2,F,X36,R1,28.1,10.4,FX36
2,F,X36,R2,28.4,10,FX36
2,F,X36,R3,37.1,12.2,FX36
2,C,X34,R3,0,24.3,CX34
2,F,X34,R1,27.8,7.5,FX34
2,F,X34,R2,29.6,9.5,FX34
2,F,X34,R3,29.8,9.1,FX34
