treatment,replicate,seed_number,disease_rating,root_length,round,Dummy
A,1,1,3,60.00,1,1
A,1,2,3,47.00,1,1
A,1,3,2,81.00,1,1
A,1,4,2,63.00,1,1
A,1,5,3,37.00,1,1
A,1,6,4,6.00,1,0
A,2,1,4,0.00,1,0
A,2,2,3,47.00,1,1
A,2,3,2,73.00,1,1
A,2,4,2,82.00,1,1
A,2,5,2,63.00,1,1
A,2,6,2,5.00,1,0
A,3,1,2,62.00,1,1
A,3,2,4,7.00,1,0
A,3,3,2,49.00,1,1
A,3,4,4,0.00,1,0
A,3,5,4,0.00,1,0
A,3,6,2,55.00,1,1
A,1,1,2,39.30,2,1
A,1,2,2,25.60,2,1
A,1,3,3,68.10,2,1
A,1,4,4,12.10,2,1
A,1,5,2,91.80,2,1
A,1,6,2,60.30,2,1
A,2,1,2,73.90,2,1
A,2,2,3,22.10,2,1
A,2,3,2,54.70,2,1
A,2,4,3,77.90,2,1
A,2,5,2,78.80,2,1
A,2,6,3,63.60,2,1
A,3,1,2,42.90,2,1
A,3,2,2,56.20,2,1
A,3,3,3,51.50,2,1
A,3,4,3,55.20,2,1
A,3,5,3,46.00,2,1
A,3,6,3,22.80,2,1
A,1,1,4,66.88,3,1
A,1,2,4,33.49,3,1
A,1,3,4,0.00,3,0
A,1,4,4,0.00,3,0
A,1,5,4,47.96,3,1
A,1,6,4,79.23,3,1
A,2,1,3,0.00,3,0
A,2,2,3,0.00,3,0
A,2,3,4,0.00,3,0
A,2,4,4,9.26,3,0
A,2,5,3,0.00,3,0
A,2,6,2,11.51,3,1
A,3,1,3,38.61,3,1
A,3,2,2,49.42,3,1
A,3,3,4,0.00,3,0
A,3,4,4,0.00,3,0
A,3,5,4,33.57,3,1
A,3,6,4,42.51,3,1
E,1,1,3,72.00,1,1
E,1,2,2,79.00,1,1
E,1,3,3,65.00,1,1
E,1,4,4,7.00,1,0
E,1,5,3,65.00,1,1
E,1,6,2,33.00,1,1
E,2,1,1,35.00,1,1
E,2,2,2,65.00,1,1
E,2,3,2,71.00,1,1
E,2,4,2,60.00,1,1
E,2,5,3,51.00,1,1
