organism,temp,replicate,measurement,round,treat,catorg
E35,5,R1,8.1,3,T1,5E
E35,5,R2,8.2,3,T1,5E
E35,5,R3,8.1,3,T1,5E
E35,15,R1,6.2,3,T2,15E
E35,15,R2,7.2,3,T2,15E
E35,15,R3,8,3,T2,15E
E35,25,R1,27.7,3,C,25E
E35,25,R2,52.3,3,C,25E
E35,25,R3,22.5,3,C,25E
A45,5,R1,26.2,3,T1,5A
A45,5,R2,29.5,3,T1,5A
A45,5,R3,28.9,3,T1,5A
A45,15,R1,48.2,3,T2,15A
A45,15,R2,57.6,3,T2,15A
A45,15,R3,52.4,3,T2,15A
A45,25,R1,69.3,3,C,25A
A45,25,R2,65.7,3,C,25A
A45,25,R3,67,3,C,25A
G79,5,R1,72.1,3,T1,5G
G79,5,R2,70.4,3,T1,5G
G79,5,R3,67.8,3,T1,5G
G79,15,R1,84,3,T2,15G
G79,15,R2,84,3,T2,15G
G79,15,R3,84,3,T2,15G
G79,25,R1,84,3,C,25G
G79,25,R2,84,3,C,25G
G79,25,R3,84,3,C,25G
X63,5,R1,59.8,3,T1,5X
X63,5,R2,53.7,3,T1,5X
X63,5,R3,51.2,3,T1,5X
X63,15,R1,84,3,T2,15X
X63,15,R2,84,3,T2,15X
X63,15,R3,84,3,T2,15X
X63,25,R1,84,3,C,25X
X63,25,R2,84,3,C,25X
X63,25,R3,84,3,C,25X
F,5,R1,7.9,3,T1,5F
F,5,R2,9.1,3,T1,5F
F,5,R3,8.8,3,T1,5F
F,15,R1,31.7,3,T2,15F
F,15,R2,32.4,3,T2,15F
F,15,R3,31.2,3,T2,15F
F,25,R1,76.8,3,C,25F
F,25,R2,77.5,3,C,25F
F,25,R3,77.6,3,C,25F
E35,5,R1,11.6,2,T1,5E
E35,5,R2,6.5,2,T1,5E
E35,5,R3,12,2,T1,5E
E35,15,R1,9.3,2,T2,15E
E35,15,R2,9.6,2,T2,15E
E35,15,R3,5.4,2,T2,15E
E35,25,R1,44,2,C,25E
E35,25,R2,39.1,2,C,25E
E35,25,R3,65.7,2,C,25E
A45,5,R1,26,2,T1,5A
A45,5,R2,24.8,2,T1,5A
A45,5,R3,25.1,2,T1,5A
A45,15,R1,43.3,2,T2,15A
A45,15,R2,31,2,T2,15A
A45,15,R3,29.7,2,T2,15A
A45,25,R1,51.2,2,C,25A
A45,25,R2,49.6,2,C,25A
A45,25,R3,49.3,2,C,25A
G79,5,R1,36.1,2,T1,5G
G79,5,R2,32.3,2,T1,5G
G79,5,R3,31.6,2,T1,5G
G79,15,R1,59.4,2,T2,15G
G79,15,R2,66.7,2,T2,15G
G79,15,R3,75.1,2,T2,15G
G79,25,R1,84,2,C,25G
G79,25,R2,84,2,C,25G
G79,25,R3,84,2,C,25G
X63,5,R1,27.7,2,T1,5X
X63,5,R2,24.9,2,T1,5X
X63,5,R3,22.1,2,T1,5X
X63,15,R1,33.5,2,T2,15X
X63,15,R2,33.9,2,T2,15X
X63,15,R3,34.5,2,T2,15X
X63,25,R1,65.4,2,C,25X
X63,25,R2,63.4,2,C,25X
X63,25,R3,55.7,2,C,25X
F,5,R1,0,2,T1,5F
F,5,R2,0,2,T1,5F
F,5,R3,0,2,T1,5F
F,15,R1,31.4,2,T2,15F
F,15,R2,30.2,2,T2,15F
F,15,R3,30,2,T2,15F
F,25,R1,72.4,2,C,25F
F,25,R2,70.4,2,C,25F
F,25,R3,71.5,2,C,25F
E35,5,R1,5.5,1,T1,5E
E35,5,R2,0,1,T1,5E
E35,5,R3,13,1,T1,5E
E35,15,R1,9.3,1,T2,15E
E35,15,R2,21.9,1,T2,15E
E35,15,R3,9.5,1,T2,15E
E35,25,R1,39.6,1,C,25E
E35,25,R2,37.7,1,C,25E
E35,25,R3,35.7,1,C,25E
A45,5,R1,12.4,1,T1,5A
A45,5,R2,13.8,1,T1,5A
A45,5,R3,13.3,1,T1,5A
A45,15,R1,49.6,1,T2,15A
A45,15,R2,48.5,1,T2,15A
A45,15,R3,45.4,1,T2,15A
A45,25,R1,53.8,1,C,25A
A45,25,R2,51.4,1,C,25A
A45,25,R3,50.7,1,C,25A
G79,5,R1,25.3,1,T1,5G
G79,5,R2,24.4,1,T1,5G
G79,5,R3,24.3,1,T1,5G
G79,15,R1,55.2,1,T2,15G
G79,15,R2,58.1,1,T2,15G
G79,15,R3,54.8,1,T2,15G
G79,25,R1,78.8,1,C,25G
G79,25,R2,79.4,1,C,25G
G79,25,R3,71.4,1,C,25G
X63,5,R1,12.6,1,T1,5X
X63,5,R2,12.7,1,T1,5X
X63,5,R3,13.6,1,T1,5X
X63,15,R1,28.7,1,T2,15X
X63,15,R2,27.8,1,T2,15X
X63,15,R3,30.7,1,T2,15X
X63,25,R1,56.2,1,C,25X
X63,25,R2,54.5,1,C,25X
X63,25,R3,54.5,1,C,25X
F,5,R1,0,1,T1,5F
F,5,R2,0,1,T1,5F
F,5,R3,0,1,T1,5F
F,15,R1,29.7,1,T2,15F
F,15,R2,29,1,T2,15F
F,15,R3,30.6,1,T2,15F
F,25,R1,74.8,1,C,25F
F,25,R2,55.6,1,C,25F
F,25,R3,73.1,1,C,25F
